lemma,poscode,surface
Rondônia,3,"Rondônia,RO"
Acre,3,"Acre,AC"
Amazonas,3,"Amazonas,AM"
Roraima,3,"Roraima,RR"
Pará,3,"Pará,PA"
Amapá,3,"Amapá,AP"
Tocantins,3,"Tocantins,TO"
Maranhão,3,"Maranhão,MA"
Piauí,3,"Piauí,PI"
Ceará,3,"Ceará,CE"
Rio Grande do Norte,3,"Rio Grande do Norte,RN"
Paraíba,3,"Paraíba,PB"
Pernambuco,3,"Pernambuco,PE"
Alagoas,3,"Alagoas,AL"
Sergipe,3,"Sergipe,SE"
Bahia,3,"Bahia,BA"
Minas Gerais,3,"Minas Gerais,MG"
Espírito Santo,3,"Espírito Santo,ES"
Rio de Janeiro,3,"Rio de Janeiro,RJ"
São Paulo,3,"São Paulo,SP"
Paraná,3,"Paraná,PR"
Santa Catarina,3,"Santa Catarina,SC"
Rio Grande do Sul,3,"Rio Grande do Sul,RS"
Mato Grosso do Sul,3,"Mato Grosso do Sul,MS"
Mato Grosso,3,"Mato Grosso,MT"
Goiás,3,"Goiás,GO"
Distrito Federal,3,"Distrito Federal,DF"
Abadia de Goiás,3,Abadia de Goiás
Abadia dos Dourados,3,Abadia dos Dourados
Abadiânia,3,Abadiânia
Posse d'Abadia,3,Posse d'Abadia
Abaeté,3,Abaeté
Abaetetuba,3,Abaetetuba
Beja,3,Beja
Abaiara,3,Abaiara
São José,3,São José
Oitis,3,Oitis
Triângulo,3,Triângulo
Olho D'Água de Pedras,3,Olho D'Água de Pedras
Abaíra,3,Abaíra
Catolés,3,Catolés
Abaré,3,Abaré
Ibó,3,Ibó
Abatiá,3,Abatiá
Abdon Batista,3,Abdon Batista
Abel Figueiredo,3,Abel Figueiredo
Abelardo Luz,3,Abelardo Luz
Abre Campo,3,Abre Campo
Granada,3,Granada
Abreu e Lima,3,Abreu e Lima
Distrito Industrial,3,Distrito Industrial
Abreulândia,3,Abreulândia
Acaiaca,3,Acaiaca
Açailândia,3,Açailândia
Acajutiba,3,Acajutiba
Acará,3,Acará
Guajará-Miri,3,Guajará-Miri
Jaguarari,3,Jaguarari
Acarape,3,Acarape
Acaraú,3,Acaraú
Aranaú,3,Aranaú
Juritianha,3,Juritianha
Lagoa do Carneiro,3,Lagoa do Carneiro
Acari,3,Acari
Acauã,3,Acauã
Aceguá,3,Aceguá
Colônia Nova,3,Colônia Nova
Minuano,3,Minuano
Rio Negro,3,Rio Negro
Acopiara,3,Acopiara
Barra do Ingá,3,Barra do Ingá
Ebron,3,Ebron
Isidoro,3,Isidoro
Quincoê,3,Quincoê
Santa Felícia,3,Santa Felícia
Santo Antônio,3,Santo Antônio
São Paulinho,3,São Paulinho
Solidão,3,Solidão
Trussu,3,Trussu
Acorizal,3,Acorizal
Baús,3,Baús
Aldeia,3,Aldeia
Acrelândia,3,Acrelândia
Acreúna,3,Acreúna
Açu,3,Açu
Açucena,3,Açucena
Aramirim,3,Aramirim
Felicina,3,Felicina
Gama,3,Gama
Naque-Nanuque,3,Naque-Nanuque
Adamantina,3,Adamantina
Adelândia,3,Adelândia
Adolfo,3,Adolfo
Adrianópolis,3,Adrianópolis
Adustina,3,Adustina
Afogados da Ingazeira,3,Afogados da Ingazeira
Afonso Bezerra,3,Afonso Bezerra
Afonso Cláudio,3,Afonso Cláudio
Fazenda Guandu,3,Fazenda Guandu
Ibicaba,3,Ibicaba
Mata Fria,3,Mata Fria
Piracema,3,Piracema
Pontões,3,Pontões
São Francisco Xavier do Guandu,3,São Francisco Xavier do Guandu
São Luís de Boa Sorte,3,São Luís de Boa Sorte
Serra Pelada,3,Serra Pelada
Afonso Cunha,3,Afonso Cunha
Afrânio,3,Afrânio
Arizona,3,Arizona
Cachoeira do Roberto,3,Cachoeira do Roberto
Poção de Afrânio,3,Poção de Afrânio
Afuá,3,Afuá
Agrestina,3,Agrestina
Barra do Chata,3,Barra do Chata
Barra do Jardim,3,Barra do Jardim
Agricolândia,3,Agricolândia
Agrolândia,3,Agrolândia
Agronômica,3,Agronômica
Água Azul do Norte,3,Água Azul do Norte
Água Boa,3,Água Boa
