lemma,poscode,surface
plano 2000,3,plano 2000
plano 2010,3,plano 2010
plano 2015,3,plano 2015
plano 90,3,plano 90
plano 95,3,plano 95
plano agropecuário e florestal de rondônia (planafloro),3,"plano agropecuário e florestal de rondônia,Planafloro"
plano agrário estadual,3,plano agrário estadual
plano agrícola e pecuário,3,plano agrícola e pecuário
plano amazônia sustentável (pas),3,"plano amazônia sustentável,PAS"
plano aranha,3,plano aranha
plano badajos ,3,plano badajos 
plano baker,3,plano baker
plano baruch às nações unidas,3,plano baruch às nações unidas
plano brady,3,plano brady
plano brasil novo,3,plano brasil novo
plano brasil em ação,3,plano brasil em ação
plano bresser,3,plano bresser
plano bresser ,3,plano bresser 
plano bush,3,plano bush
plano básico de desenvolvimento científico e tecnológico (pbdct),3,"plano básico de desenvolvimento científico e tecnológico,PBDCT"
plano cavallo,3,plano cavallo
plano cohen ,3,plano cohen 
plano collor ,3,plano collor 
plano collor i,3,plano collor i
plano collor ii,3,plano collor ii
plano colômbia,3,plano colômbia
plano cruzado,3,plano cruzado
plano cruzado i,3,plano cruzado i
plano cruzado ii,3,plano cruzado ii
plano decenal,3,plano decenal
plano diretor ,3,plano diretor 
plano diretor da barra da tijuca,3,plano diretor da barra da tijuca
plano diretor da cidade do rio de janeiro,3,plano diretor da cidade do rio de janeiro
plano diretor da marinha,3,plano diretor da marinha
plano diretor da sudene ,3,plano diretor da sudene 
plano diretor da capital federal,3,plano diretor da capital federal
plano diretor da cidade,3,plano diretor da cidade
plano diretor da cidade de goiânia,3,plano diretor da cidade de goiânia
plano diretor de curitiba,3,plano diretor de curitiba
plano diretor de desenvolvimento econômico e social do nordeste,3,plano diretor de desenvolvimento econômico e social do nordeste
plano diretor de desenvolvimento do nordeste,3,plano diretor de desenvolvimento do nordeste
plano diretor de informática,3,plano diretor de informática
plano diretor de meio ambiente,3,plano diretor de meio ambiente
plano diretor de porto alegre,3,plano diretor de porto alegre
plano diretor de porto seguro/santa cruz de cabrália,3,plano diretor de porto seguro/santa cruz de cabrália
plano diretor do delta do jacuí,3,plano diretor do delta do jacuí
plano diretor do desenvolvimento urbano,3,plano diretor do desenvolvimento urbano
plano diretor do exército,3,plano diretor do exército
plano diretor do mercado de capitais (bovespa e abamec),3,"plano diretor do mercado de capitais,Bovespa e Abamec"
plano diretor do município,3,plano diretor do município
plano diretor do porto de são francisco do sul,3,plano diretor do porto de são francisco do sul
plano econômico de longo prazo,3,plano econômico de longo prazo
plano encore,3,plano encore
plano especial de bolsas de estudo (pebe),3,"plano especial de bolsas de estudo,PEBE"
plano especial de obras públicas e aparelhamento da defesa,3,plano especial de obras públicas e aparelhamento da defesa
plano estadual de ajuda aos municípios,3,plano estadual de ajuda aos municípios
plano estadual de desenvolvimento,3,plano estadual de desenvolvimento
plano estadual de desenvolvimento econômico,3,plano estadual de desenvolvimento econômico
plano estadual de desenvolvimento urbano (pedu),3,"plano estadual de desenvolvimento urbano,PEDU"
plano estadual de desestatização (ped),3,"plano estadual de desestatização,PED"
plano estadual de telecomunicações,3,plano estadual de telecomunicações
plano estratégico da cidade,3,plano estratégico da cidade
plano estratégico de desenvolvimento,3,plano estratégico de desenvolvimento
plano estratégico de desenvolvimento (ped),3,"plano estratégico de desenvolvimento,PED"
plano estratégico de reforma agrária,3,plano estratégico de reforma agrária
plano estratégico do sistema sesi de educação,3,plano estratégico do sistema sesi de educação
plano fhc ii,3,plano fhc ii
plano fênix,3,plano fênix
plano geral de informações estatísticas e geográficas ,3,plano geral de informações estatísticas e geográficas 
plano geral de informações estatísticas e geográficas (pgieg) ,3,"plano geral de informações estatísticas e geográficas,PGIEG"
plano geral de obras do exército,3,plano geral de obras do exército
plano geral de outorgas,3,plano geral de outorgas
plano geral de outorgas (pgo),3,"plano geral de outorgas,PGO"
plano geral de viação,3,plano geral de viação
plano geral de viação nacional,3,plano geral de viação nacional
plano habitacional,3,plano habitacional
plano hoffmann,3,plano hoffmann
plano integrado de desenvolvimento do município,3,plano integrado de desenvolvimento do município
plano integrado de educação,3,plano integrado de educação
plano integrado de saúde,3,plano integrado de saúde
plano lafer,3,plano lafer
plano marshall,3,plano marshall
plano metropolitano de desenvolvimento integrado,3,plano metropolitano de desenvolvimento integrado
plano mineiro de desenvolvimento econômico e social,3,plano mineiro de desenvolvimento econômico e social
plano municipal de turismo,3,plano municipal de turismo
plano mário leal ferreira,3,plano mário leal ferreira
plano nacional da aguardente,3,plano nacional da aguardente
plano nacional da cachaça de alambique (pnca),3,"plano nacional da cachaça de alambique,PNCa"
plano nacional da habitação,3,plano nacional da habitação
plano nacional da indústria automobilística,3,plano nacional da indústria automobilística
plano nacional da juventude,3,plano nacional da juventude
plano nacional de café,3,plano nacional de café
plano nacional de cooperação técnico-científica interregional,3,plano nacional de cooperação técnico-científica interregional
plano nacional de cultura,3,plano nacional de cultura
plano nacional de cultura (pec nº 306/00),3,"plano nacional de cultura,PEC nº 306/00"
plano nacional de defesa,3,plano nacional de defesa
plano nacional de desenvolvimento (pnd),3,"plano nacional de desenvolvimento,PND"
plano nacional de desestatização (pnd),3,"plano nacional de desestatização,PND"
plano nacional de direitos humanos,3,plano nacional de direitos humanos
plano nacional de educação,3,plano nacional de educação
plano nacional de eletrificação,3,plano nacional de eletrificação
plano nacional de energia,3,plano nacional de energia
plano nacional de fabricação de veículos a motor,3,plano nacional de fabricação de veículos a motor
plano nacional de habitação popular (planhap),3,"plano nacional de habitação popular,Planhap"
plano nacional de informática (ii planin),3,"plano nacional de informática,II Planin"
plano nacional de informática e automação (planin ii),3,"plano nacional de informática e automação,Planin II"
plano nacional de juventude,3,plano nacional de juventude
plano nacional de normatização,3,plano nacional de normatização
plano nacional de políticas para as mulheres (pnpm),3,"plano nacional de políticas para as mulheres,PNPM"
plano nacional de portos de pesca,3,plano nacional de portos de pesca
plano nacional de reaparelhamento econômico ,3,plano nacional de reaparelhamento econômico 
plano nacional de recursos hídricos,3,plano nacional de recursos hídricos
plano nacional de reforma agrária,3,plano nacional de reforma agrária
plano nacional de reforma agrária (pnra),3,"plano nacional de reforma agrária,PNRA"
plano nacional de reforma agrária da nova república,3,plano nacional de reforma agrária da nova república
plano nacional de saneamento (planase),3,"plano nacional de saneamento,Planase"
plano nacional de saúde,3,plano nacional de saúde
plano nacional de segurança pública (pnsp),3,"plano nacional de segurança pública,PNSP"
plano nacional de sementes,3,plano nacional de sementes
plano nacional de telecomunicações,3,plano nacional de telecomunicações
plano nacional de turismo,3,plano nacional de turismo
plano nacional de viação,3,plano nacional de viação
plano nacional do carvão,3,plano nacional do carvão
plano nacional do trigo,3,plano nacional do trigo
plano nacional do turismo,3,plano nacional do turismo
plano nacional dos direitos humanos,3,plano nacional dos direitos humanos
plano noroeste i,3,plano noroeste i
plano novo cruzado,3,plano novo cruzado
plano pastoral de conjunto,3,plano pastoral de conjunto
plano piloto,3,plano piloto
plano piloto de alfabetização,3,plano piloto de alfabetização
plano plurianual,3,plano plurianual
plano plurianual (1996-1999),3,"plano plurianual,1996-1999"
plano plurianual (ppa),3,"plano plurianual,PPA"
plano plurianual 2000-2003,3,plano plurianual 2000-2003
plano plurianual de investimentos (ppa),3,"plano plurianual de investimentos,PPA"
plano prioritário de investimentos (ppi),3,"plano prioritário de investimentos,PPI"
plano qüinqüenal,3,plano qüinqüenal
plano qüinqüenal da reforma agrária brasileira (1967-1971),3,"plano qüinqüenal da reforma agrária brasileira,1967-1971"
plano qüinqüenal de desenvolvimento de minas gerais,3,plano qüinqüenal de desenvolvimento de minas gerais
plano real ,3,plano real 
plano regional de desenvolvimento do vale do paraíba,3,plano regional de desenvolvimento do vale do paraíba
plano regulador da cidade,3,plano regulador da cidade
plano rodoviário,3,plano rodoviário
plano rodoviário nacional,3,plano rodoviário nacional
plano rodoviário do estado,3,plano rodoviário do estado
plano rodoviário do paraná,3,plano rodoviário do paraná
plano rodoviário para a interiorização do desenvolvimento (proinde),3,"plano rodoviário para a interiorização do desenvolvimento,Proinde"
plano safra,3,plano safra
plano salte ,3,plano salte 
plano siderúrgico nacional,3,plano siderúrgico nacional
plano sousa costa,3,plano sousa costa
plano tamura,3,plano tamura
plano trienal ,3,plano trienal 
plano trienal de desenvolvimento econômico,3,plano trienal de desenvolvimento econômico
plano trienal de desenvolvimento econômico e social,3,plano trienal de desenvolvimento econômico e social
plano trienal do ministério do planejamento,3,plano trienal do ministério do planejamento
plano urbanístico básico e do plano metropolitano de desenvolvimento,3,plano urbanístico básico e do plano metropolitano de desenvolvimento
plano urbanístico básico para são paulo,3,plano urbanístico básico para são paulo
plano verão,3,plano verão
plano da casa própria popular,3,plano da casa própria popular
plano da cidade ,3,plano da cidade 
plano da cidade de recife,3,plano da cidade de recife
plano da lavoura cacaueira (ceplac),3,"plano da lavoura cacaueira,CEPLAC"
plano da pastoral de conjunto,3,plano da pastoral de conjunto
plano da universidade do brasil,3,plano da universidade do brasil
plano das capturas,3,plano das capturas
plano de 1960,3,plano de 1960
plano de aceleração do crescimento (pac),3,"plano de aceleração do crescimento,PAC"
plano de amparo ao servidor público (pasep),3,"plano de amparo ao servidor público,Pasep"
plano de aperfeiçoamento de pessoal de nível superior,3,plano de aperfeiçoamento de pessoal de nível superior
plano de aplicação,3,plano de aplicação
plano de aplicação dos recursos orçamentários na região geoeconômica,3,plano de aplicação dos recursos orçamentários na região geoeconômica
plano de assistência médica,3,plano de assistência médica
plano de assistência ao funcionário,3,plano de assistência ao funcionário
plano de atendimento médico para o centro,3,plano de atendimento médico para o centro
plano de atendimento à saúde (pas),3,"plano de atendimento à saúde,PAS"
plano de ação,3,plano de ação
plano de ação econômica do governo (paeg),3,"plano de ação econômica do governo,PAEG"
plano de ação governamental,3,plano de ação governamental
plano de ação imediata (pai),3,"plano de ação imediata,PAI"
plano de ação política,3,plano de ação política
plano de ação de governo (pag),3,"plano de ação de governo,PAG"
plano de ação do bnde,3,plano de ação do bnde
plano de ação do governo,3,plano de ação do governo
plano de ação do governo (copag) ,3,"plano de ação do governo,Copag"
plano de ação do governo do estado (page),3,"plano de ação do governo do estado,PAGE"
plano de ação do setor petróleo,3,plano de ação do setor petróleo
plano de ação do sistema cni,3,plano de ação do sistema cni
plano de ação em florestas tropicais para américa latina,3,plano de ação em florestas tropicais para américa latina
plano de ação para a prevenção e o controle,3,plano de ação para a prevenção e o controle
plano de benefícios da previdência social,3,plano de benefícios da previdência social
plano de benefícios e custeio da previdência,3,plano de benefícios e custeio da previdência
plano de carreira e cargos,3,plano de carreira e cargos
plano de carvão nacional,3,plano de carvão nacional
plano de classificação,3,plano de classificação
plano de classificação de cargos,3,plano de classificação de cargos
plano de classificação de cargos do serviço civil,3,plano de classificação de cargos do serviço civil
plano de classificação de cargos dos servidores públicos,3,plano de classificação de cargos dos servidores públicos
plano de classificação de cargos e funções,3,plano de classificação de cargos e funções
plano de classificação de cargos e funções do funcionalismo,3,plano de classificação de cargos e funções do funcionalismo
plano de classificação de cargos no serviço público federal,3,plano de classificação de cargos no serviço público federal
plano de combate à fome e à miséria,3,plano de combate à fome e à miséria
plano de consistência macroeconômica,3,plano de consistência macroeconômica
plano de construção naval,3,plano de construção naval
plano de controle macroeconômico,3,plano de controle macroeconômico
plano de coordenação das atividades relacionadas com o carvão,3,plano de coordenação das atividades relacionadas com o carvão
plano de custeio e benefícios da previdência social,3,plano de custeio e benefícios da previdência social
plano de defesa ,3,plano de defesa 
plano de demissão voluntária (pdv),3,"plano de demissão voluntária,PDV"
plano de descentralização regional da reforma administrativa,3,plano de descentralização regional da reforma administrativa
plano de descentralização da assistência ao psicopata,3,plano de descentralização da assistência ao psicopata
plano de desenvolvimento econômico,3,plano de desenvolvimento econômico
plano de desenvolvimento econômico do estado do paraná,3,plano de desenvolvimento econômico do estado do paraná
plano de desenvolvimento espírito santo,3,plano de desenvolvimento espírito santo
