lemma,poscode,surface
advogado geral da união,3,"adv.–ger. união,advogado geral da união,adv.-geral da união,adv-ger. união,adv-geral união"
arcebispo,3,"arceb.,arc,arcebispo"
arquiteto,3,"arquiteto,arquiteto e urbanista,arquiteto"
artista,3,"pintor,compositor,artista,caricaturista,artista"
assessor da presidência,3,"ass. econ. pres. rep.,ass. pres. rep.,aux. gab. pres. rep.,ch. aerp,assessor da presidência"
candidato a presidência da república,3,"candidato a presidência da república,cand. pres. rep."
chefe de missão econômica,3,"ch. missão econômica norte-americana no brasil,ch. missão ec. inglaterra no brasil,chefe de missão econômica"
chefe de operações da petrobras,3,"ch. oper. petrobras,chefe de operações da petrobras"
chefe de polícia,3,"ch. pol.,chefe de polícia"
chefe do departamento geral de administração do exército,3,"chefe do departamento geral de administração do exército,ch. depto. ger. admin. ex."
chefe do departamento geral de pessoal do exército,3,"ch. depto. pes.,ch. depto ger. pess. ex.,dir. pess. ex.,ch. dir. pess. ex,chefe do departamento geral de pessoal do exército,ch. dir. ger. pess. ex."
chefe do departamento geral de serviços do exército,3,"ch. depto ger. serv. ex.,chefe do departamento geral de serviços do exército"
chefe do departamento técnico e de produção,3,"ch. depto. téc. prod. ex.,ch. depto téc. e prod. ex.,ch. depto. tec. e prod. ex,chefe do departamento técnico e de produção"
chefe do departamento de engenharia e comunicações do exército,3,"comte deptº eng. e comunic.,ch. depto. eng. e comunic. ex.,chefe do departamento de engenharia e comunicações do exército,comte depto eng. e comunic. ex.,ch. depto eng. comunic. ex."
chefe do departamento de ensino e pesquisa do exército,3,"ch. depto. ens. pesq. ex.,chefe do departamento de ensino e pesquisa do exército,ch. depto ens. pesq. ex,ch. depto ens. e pesq. ex."
chefe do departamento de material bélico do exército,3,"ch. depto mat. bél. ex.,ch. dep. mat. bel. ex,ch. dir. mat. bél. ex.,chefe do departamento de material bélico do exército,ch.  dir.  ger.  mat.  bél.  ex,ch.  dir.  ger.  mat.  bél.  ex."
chefe do departamento de produção e obras,3,"ch. depto prod. obras ex.,ch. depto prod. e obras ex.,chefe do departamento de produção e obras"
chefe do departamento de provisão geral do exército,3,"ch. depto prov. ger. ex.,ch. depto. prov. ger. ex,chefe do departamento de provisão geral do exército"
chefe do estado-maior da aeronáutica,3,"ch. emaer,chefe do estado-maior da aeronáutica"
chefe do estado-maior da armada,3,"ch. ema,chefe do estado-maior da armada"
chefe do estado-maior das forças armadas,3,"ch. emfa,min. ch. emfa,ch. em geral,ch. em feb,chefe do estado-maior das forças armadas"
chefe do estado-maior do exército,3,"ch. eme,chefe do estado-maior do exército"
chefe do gabinete civil da presidência da república,3,"chefe do gabinete civil da presidência da república,ch. gab. civ. pres. rep."
chefe do gabinete militar da presidência da república,3,"ch. em gov. prov.,ch. em pres. rep.,chefe do gabinete militar da presidência da república,ch. gab. mil. pres. rep.,ch. casa mil. pres. rep."
chefe do serviço nacional de informações,3,"chefe do serviço nacional de informações,ch. sni,min. ch. sni"
chefe do serviço de proteção ao índio,3,"ch. spi,chefe do serviço de proteção ao índio"
cientista,3,"inventor, cientista, aeronauta,inventor, cientista e aeronauta,inventor,cientista,cientista"
comandante militar,3,"comandante militar,comte mil."
comandante militar (comar),3,"comte iii comar,comte. vi comar,comandante do iii comando aéreo regional,comte. iv comar,comte ii comar,comte. ii comar,ch. vi comar,comandante militar (comar)"
comandante militar (distrito naval),3,"comandante do i distrito naval,comandante do vi distrito naval,comandante do 1 distrito naval,comdo. naval brasília,comandante do v distrito naval,comandante do ii distrito naval,comte. força naval ne,comandante do iv distrito naval,comte. iii dist. naval,comandante do iii distrito naval,comandante militar (distrito naval)"
comandante militar (escola superior de guerra),3,"comandante da escola superior de guerra,comte esg,cmte. esg,comandante militar (escola superior de guerra)"
comandante militar (esquadra),3,"comte-em-ch. esq.,comandante-em-chefe da esquadra,comte. ema,comte.-em-ch. esquadra,comte. em ch. esquadra,comte.-em-ch. esq.,comte-em-ch. esquadra,comte-em-ch. esquadra,comandante militar (esquadra)"
comandante militar (exército),3,"comandante do iii exército,comandante do ii exército,comte. ii ex.,comte. ii exército,comandante do iv exército,comandante do i exército,comandante militar (exército)"
comandante militar (feb),3,"comte. art. feb,comte. inf. feb,comte. feb,comandante militar (feb)"
comandante militar (fuzileiros navais),3,"comte cfn,comandante do corpo de fuzileiros navais,comandante militar (fuzileiros navais)"
