lemma,poscode,surface
São Paulo,3,São Paulo
Rio de Janeiro,3,Rio de Janeiro
Brasília,3,Brasília
Salvador,3,Salvador
Fortaleza,3,Fortaleza
Belo Horizonte,3,Belo Horizonte
Manaus,3,Manaus
Curitiba,3,Curitiba
Recife,3,Recife
Goiânia,3,Goiânia
Belém,3,Belém
Porto Alegre,3,Porto Alegre
Guarulhos,3,Guarulhos
Campinas,3,Campinas
São Luís,3,São Luís
São Gonçalo,3,São Gonçalo
Maceió,3,Maceió
Duque de Caxias,3,Duque de Caxias
Campo Grande,3,Campo Grande
Natal,3,Natal
Teresina,3,Teresina
São Bernardo do Campo,3,São Bernardo do Campo
Nova Iguaçu,3,Nova Iguaçu
João Pessoa,3,João Pessoa
Santo André,3,Santo André
São José dos Campos,3,São José dos Campos
Jaboatão dos Guararapes,3,Jaboatão dos Guararapes
Osasco,3,Osasco
Ribeirão Preto,3,Ribeirão Preto
Uberlândia,3,Uberlândia
Sorocaba,3,Sorocaba
Contagem,3,Contagem
Aracaju,3,Aracaju
Feira de Santana,3,Feira de Santana
Cuiabá,3,Cuiabá
Joinville,3,Joinville
Aparecida de Goiânia,3,Aparecida de Goiânia
Juiz de Fora,3,Juiz de Fora
Londrina,3,Londrina
Ananindeua,3,Ananindeua
Porto Velho,3,Porto Velho
Niterói,3,Niterói
Belford Roxo,3,Belford Roxo
Serra,3,Serra
Caxias do Sul,3,Caxias do Sul
Campos dos Goytacazes,3,Campos dos Goytacazes
Macapá,3,Macapá
Florianópolis,3,Florianópolis
Vila Velha,3,Vila Velha
São João de Meriti,3,São João de Meriti
Mauá,3,Mauá
São José do Rio Preto,3,São José do Rio Preto
Mogi das Cruzes,3,Mogi das Cruzes
Santos,3,Santos
Betim,3,Betim
Diadema,3,Diadema
Maringá,3,Maringá
Jundiaí,3,Jundiaí
Campina Grande,3,Campina Grande
Montes Claros,3,Montes Claros
Rio Branco,3,Rio Branco
Piracicaba,3,Piracicaba
Carapicuíba,3,Carapicuíba
Olinda,3,Olinda
Anápolis,3,Anápolis
Cariacica,3,Cariacica
Boa Vista,3,Boa Vista
Bauru,3,Bauru
Itaquaquecetuba,3,Itaquaquecetuba
Caucaia,3,Caucaia
São Vicente,3,São Vicente
Vitória,3,Vitória
Caruaru,3,Caruaru
Blumenau,3,Blumenau
Franca,3,Franca
Ponta Grossa,3,Ponta Grossa
Canoas,3,Canoas
Petrolina,3,Petrolina
Pelotas,3,Pelotas
Vitória da Conquista,3,Vitória da Conquista
Ribeirão das Neves,3,Ribeirão das Neves
Uberaba,3,Uberaba
Paulista,3,Paulista
Cascavel,3,Cascavel
Praia Grande,3,Praia Grande
Guarujá,3,Guarujá
São José dos Pinhais,3,São José dos Pinhais
Taubaté,3,Taubaté
Petrópolis,3,Petrópolis
Limeira,3,Limeira
Santarém,3,Santarém
Suzano,3,Suzano
Mossoró,3,Mossoró
Camaçari,3,Camaçari
Palmas,3,Palmas
Taboão da Serra,3,Taboão da Serra
Várzea Grande,3,Várzea Grande
Santa Maria,3,Santa Maria
Gravataí,3,Gravataí
Governador Valadares,3,Governador Valadares
Sumaré,3,Sumaré
Marabá,3,Marabá
Volta Redonda,3,Volta Redonda
Juazeiro do Norte,3,Juazeiro do Norte
Barueri,3,Barueri
Embu das Artes,3,Embu das Artes
Ipatinga,3,Ipatinga
Foz do Iguaçu,3,Foz do Iguaçu
Imperatriz,3,Imperatriz
Parnamirim,3,Parnamirim
Viamão,3,Viamão
Macaé,3,Macaé
São Carlos,3,São Carlos
Indaiatuba,3,Indaiatuba
Novo Hamburgo,3,Novo Hamburgo
Cotia,3,Cotia
Magé,3,Magé
São José,3,São José
Colombo,3,Colombo
Itaboraí,3,Itaboraí
Sete Lagoas,3,Sete Lagoas
Marília,3,Marília
Americana,3,Americana
Divinópolis,3,Divinópolis
São Leopoldo,3,São Leopoldo
Itapevi,3,Itapevi
Araraquara,3,Araraquara
Jacareí,3,Jacareí
Arapiraca,3,Arapiraca
Rio Verde,3,Rio Verde
Rondonópolis,3,Rondonópolis
Hortolândia,3,Hortolândia
Presidente Prudente,3,Presidente Prudente
Maracanaú,3,Maracanaú
Cabo Frio,3,Cabo Frio
Dourados,3,Dourados
Santa Luzia,3,Santa Luzia
Chapecó,3,Chapecó
Itajaí,3,Itajaí
Juazeiro,3,Juazeiro
Criciúma,3,Criciúma
Itabuna,3,Itabuna
Rio Grande,3,Rio Grande
Alvorada,3,Alvorada
Cachoeiro de Itapemirim,3,Cachoeiro de Itapemirim
Águas Lindas de Goiás,3,Águas Lindas de Goiás
Sobral,3,Sobral
Cabo de Santo Agostinho,3,Cabo de Santo Agostinho
Luziânia,3,Luziânia
Rio Claro,3,Rio Claro
Parauapebas,3,Parauapebas
Passo Fundo,3,Passo Fundo
Angra dos Reis,3,Angra dos Reis
Castanhal,3,Castanhal
Araçatuba,3,Araçatuba
Lauro de Freitas,3,Lauro de Freitas
Santa Bárbara d'Oeste,3,Santa Bárbara d'Oeste
