lemma,poscode,surface
abrigo lar dos velhos vicentini,3,abrigo lar dos velhos vicentini
academia alagoana de letras,3,academia alagoana de letras
academia brasileira de ciências,3,academia brasileira de ciências
academia brasileira de ciências econômicas e administrativas,3,academia brasileira de ciências econômicas e administrativas
academia brasileira de ciências sociais e políticas,3,academia brasileira de ciências sociais e políticas
academia brasileira de direito empresarial,3,academia brasileira de direito empresarial
academia brasileira de letras,3,academia brasileira de letras
academia brasileira de música,3,academia brasileira de música
academia brasiliense de letras,3,academia brasiliense de letras
academia cultural de curitiba,3,academia cultural de curitiba
academia fluminense de letras,3,academia fluminense de letras
academia friburguense de letras,3,academia friburguense de letras
academia militar das agulhas negras,3,academia militar das agulhas negras
academia mineira de letras,3,academia mineira de letras
academia nacional de direito,3,academia nacional de direito
academia nacional de medicina,3,academia nacional de medicina
academia paraibana de letras,3,academia paraibana de letras
academia paraibana de medicina,3,academia paraibana de medicina
academia paulista de educação,3,academia paulista de educação
academia paulista de jornalismo,3,academia paulista de jornalismo
academia paulista de letras,3,academia paulista de letras
academia sergipana de letras,3,academia sergipana de letras
academia de comércio de juiz de fora,3,academia de comércio de juiz de fora
academia de cultura de foz do iguaçu,3,academia de cultura de foz do iguaçu
academia de letras jurídicas da bahia,3,academia de letras jurídicas da bahia
academia de letras da bahia,3,academia de letras da bahia
academia de letras de campo mourão,3,academia de letras de campo mourão
acesita,3,acesita
adepol do brasil,3,adepol do brasil
administradora dibens,3,administradora dibens
aeroclube brasileiro,3,aeroclube brasileiro
affemg,3,affemg
agricultural mortgage corporation,3,agricultural mortgage corporation
agrinco do brasil,3,agrinco do brasil
agro-industrial vale do brejo ltda,3,agro-industrial vale do brejo ltda
agroindustrial suassuna,3,agroindustrial suassuna
agroindustrial vale do brejo ltda,3,agroindustrial vale do brejo ltda
agroindustrial e comercial cavalcanti ltda,3,agroindustrial e comercial cavalcanti ltda
agroindústria piauí,3,agroindústria piauí
agulhas negras indústria e comércio de móveis,3,agulhas negras indústria e comércio de móveis
agência especial de financiamento industrial,3,agência especial de financiamento industrial
agência estadual de regulação dos serviços públicos,3,agência estadual de regulação dos serviços públicos
agência nacional de aviação civil,3,agência nacional de aviação civil
agência nacional de telecomunicações,3,agência nacional de telecomunicações
agência nacional de águas,3,agência nacional de águas
agência promotora de exportações,3,agência promotora de exportações
agência de desenvolvimento de pernambuco,3,agência de desenvolvimento de pernambuco
agência de desenvolvimento do ceará,3,agência de desenvolvimento do ceará
agência de desenvolvimento do estado do tocantins,3,agência de desenvolvimento do estado do tocantins
agência de regulação do estado da paraíba,3,agência de regulação do estado da paraíba
ajufe,3,ajufe
ala moça,3,ala moça
alcatel telecomunicações,3,alcatel telecomunicações
alcântara machado comércio e empreendimentos,3,alcântara machado comércio e empreendimentos
aldridge college,3,aldridge college
alerj,3,alerj
aliança liberal,3,aliança liberal
aliança nacional libertadora,3,aliança nacional libertadora
aliança renovadora nacional,3,aliança renovadora nacional
amazônia mineração,3,amazônia mineração
american university,3,american university
amforp,3,amforp
amparo maternal,3,amparo maternal
américa futebol clube,3,américa futebol clube
ana néri hospitalar ltda,3,ana néri hospitalar ltda
anac,3,anac
anamages,3,anamages
anamatra,3,anamatra
anatel,3,anatel
anderson clayton,3,anderson clayton
andrews,3,andrews
anglo-americano,3,anglo-americano
anglo-turkish society,3,anglo-turkish society
ansef,3,ansef
aquisição e administação de patrimônios,3,aquisição e administação de patrimônios
aracruz celulose,3,aracruz celulose
arena,3,arena
ariquemes country club,3,ariquemes country club
artex s.a.,3,artex s.a.
artplan,3,artplan
asilo da velhice e mendicidade,3,asilo da velhice e mendicidade
assembléia legislativa,3,assembléia legislativa
