lemma,poscode,surface
a rusga,3,a rusga
atentado da toneleiros,3,atentado da toneleiros
atentado do riocentro,3,atentado do riocentro
aclamação de amador bueno,3,aclamação de amador bueno
balaiada,3,balaiada
batalha da maria antônia,3,batalha da maria antônia
batalha da venda grande,3,batalha da venda grande
batalha das toninhas,3,batalha das toninhas
batalha de santa luzia,3,batalha de santa luzia
comício das reformas,3,comício das reformas
conferência de punta del leste,3,conferência de punta del leste
conferência do rio,3,conferência do rio
conflito de letícia,3,conflito de letícia
congresso nacional de defesa dos minérios,3,congresso nacional de defesa dos minérios
congresso revolucionários do norte,3,congresso revolucionários do norte
cabanada,3,cabanada
cabanagem,3,cabanagem
campanha para expressar a liberdade,3,campanha para expressar a liberdade
caso edson luís,3,caso edson luís
caso vladimir herzog,3,caso vladimir herzog
coluna prestes,3,coluna prestes
coluna da morte,3,coluna da morte
confederação do equador,3,confederação do equador
confederação dos cariris,3,confederação dos cariris
confederação dos tamoios,3,confederação dos tamoios
conjuração baiana,3,conjuração baiana
conjuração carioca,3,conjuração carioca
conjuração mineira,3,conjuração mineira
conjuração pernambucana,3,conjuração pernambucana
conjuração de nosso pai,3,conjuração de nosso pai
conspiração do curvelo,3,conspiração do curvelo
conspiração dos suassunas,3,conspiração dos suassunas
conspiração dos suaçunas,3,conspiração dos suaçunas
desfile integralista,3,desfile integralista
entrincheiramentos de santa luzia,3,entrincheiramentos de santa luzia
federação do guanais,3,federação do guanais
fora collor,3,fora collor
golpe de 15 de novembro,3,golpe de 15 de novembro
greve geral de 1917,3,greve geral de 1917
greve da fflch,3,greve da fflch
greve da meia passagem,3,greve da meia passagem
greve de 1988,3,greve de 1988
greve operária,3,greve operária
grito dos excluídos,3,grito dos excluídos
guerra cisplatina,3,guerra cisplatina
guerra civil uruguaia,3,guerra civil uruguaia
guerra guaranítica,3,guerra guaranítica
guerra luso-espanhola,3,guerra luso-espanhola
guerra luso-holandesa,3,guerra luso-holandesa
guerra luso-neerlandesa,3,guerra luso-neerlandesa
guerra contra aguirre,3,guerra contra aguirre
guerra contra artigas,3,guerra contra artigas
guerra contra oribe e rosas,3,guerra contra oribe e rosas
guerra da cisplatina,3,guerra da cisplatina
guerra da lagosta,3,guerra da lagosta
guerra da luz divina,3,guerra da luz divina
guerra da carne,3,guerra da carne
guerra da independência do brasil,3,guerra da independência do brasil
guerra das mulheres,3,guerra das mulheres
guerra de canudos,3,guerra de canudos
guerra de iguape,3,guerra de iguape
guerra de independência do brasil,3,guerra de independência do brasil
guerra do acre,3,guerra do acre
guerra do contestado,3,guerra do contestado
guerra do paraguai,3,guerra do paraguai
guerra do pente,3,guerra do pente
guerra do prata,3,guerra do prata
guerra do uruguai,3,guerra do uruguai
guerra dos aimorés,3,guerra dos aimorés
guerra dos bárbaros,3,guerra dos bárbaros
guerra dos emboabas,3,guerra dos emboabas
guerra dos farrapos,3,guerra dos farrapos
guerra dos manaus,3,guerra dos manaus
guerra dos mascates,3,guerra dos mascates
guerra dos potiguares,3,guerra dos potiguares
guerrilha de três passos,3,guerrilha de três passos
guerrilha do araguaia,3,guerrilha do araguaia
guerrilha do caparaó,3,guerrilha do caparaó
guerrilha dos muras,3,guerrilha dos muras
i conferência nacional das classes produtoras,3,i conferência nacional das classes produtoras
i congresso antifacista,3,i congresso antifacista
i congresso brasileiro da indústria,3,i congresso brasileiro da indústria
i congresso brasileiro de economia,3,i congresso brasileiro de economia
i congresso brasileiro de escritores,3,i congresso brasileiro de escritores
i congresso da juventude do brasil,3,i congresso da juventude do brasil
i congresso dos lavradores e camponeses sem terra,3,i congresso dos lavradores e camponeses sem terra
i congresso nacional revolucionário,3,i congresso nacional revolucionário
i conclap,3,i conclap
ii conferência nacional das classes produtoras,3,ii conferência nacional das classes produtoras
ii conclap,3,ii conclap
iii conferência nacional das classes produtoras,3,iii conferência nacional das classes produtoras
iii conclap,3,iii conclap
iv conferência nacional das classes produtoras,3,iv conferência nacional das classes produtoras
iv conclap,3,iv conclap
inconfidência mineira,3,inconfidência mineira
incorporação da cisplatina,3,incorporação da cisplatina
independência da bahia,3,independência da bahia
insurreição pernambucana,3,insurreição pernambucana
insurreição praieira,3,insurreição praieira
intentona comunista,3,intentona comunista
intentona integralista,3,intentona integralista
invasão da guiana francesa,3,invasão da guiana francesa
invasão holandesa,3,invasão holandesa
levante comunista,3,levante comunista
levante sertanejo,3,levante sertanejo
levante de catas altas,3,levante de catas altas
levante dos marimbondos,3,levante dos marimbondos
levante dos tupinambás,3,levante dos tupinambás
levante integralista,3,levante integralista
marcha da família com deus pela liberdade,3,marcha da família com deus pela liberdade
marcha da produção,3,marcha da produção
missão abbink,3,missão abbink
missão aranha,3,missão aranha
missão cooke,3,missão cooke
missão niemeyer,3,missão niemeyer
movimento brasileiro de alfabetização (mobral),3,movimento brasileiro de alfabetização (mobral)
movimento da panela vazia,3,movimento da panela vazia
movimento de cultura popular (mcp),3,movimento de cultura popular (mcp)
movimento do 11 de novembro,3,movimento do 11 de novembro
marcha dos 100 mil de brasília em 1999,3,marcha dos 100 mil de brasília em 1999
massacre do carandiru,3,massacre do carandiru
mobilização estudantil em são paulo em 2015,3,mobilização estudantil em são paulo em 2015
motim da carne sem osso,3,motim da carne sem osso
motim das mulheres,3,motim das mulheres
motim do fecha-fecha,3,motim do fecha-fecha
motim do mata-mata,3,motim do mata-mata
motim do nosso pai,3,motim do nosso pai
motins do maneta,3,motins do maneta
movimento brasil livre,3,movimento brasil livre
movimento cívico pelo direito dos brasileiros,3,movimento cívico pelo direito dos brasileiros
movimento educacionista,3,movimento educacionista
movimento passe livre,3,movimento passe livre
movimento separatista do norte (1821-23),3,movimento separatista do norte (1821-23)
movimento vem pra rua,3,movimento vem pra rua
movimento de luta pela terra,3,movimento de luta pela terra
movimento de pau de colher,3,movimento de pau de colher
movimento dos atingidos por barragens,3,movimento dos atingidos por barragens
movimento dos caras-pintadas,3,movimento dos caras-pintadas
movimento eugênico brasileiro,3,movimento eugênico brasileiro
movimento militar de 1964,3,movimento militar de 1964
noite das garrafadas,3,noite das garrafadas
operação power pack,3,operação power pack
operação traíra,3,operação traíra
passeata dos cem mil,3,passeata dos cem mil
primeira campanha da cisplatina,3,primeira campanha da cisplatina
primeira guerra mundial,3,primeira guerra mundial
protestos no brasil em 2013,3,protestos no brasil em 2013
quilombos e guerra dos palmares,3,quilombos e guerra dos palmares
redemocratização,3,redemocratização
revolta camponesa do sudoeste do paraná,3,revolta camponesa do sudoeste do paraná
revolta comunista de 1935,3,revolta comunista de 1935
revolta de aragarças,3,revolta de aragarças
revolta de jacareacanga,3,revolta de jacareacanga
revolta de princesa,3,revolta de princesa
revolta dos marinheiros,3,revolta dos marinheiros
revolta dos sargentos,3,revolta dos sargentos
revolta integralista,3,revolta integralista
revolução de 1930,3,revolução de 1930
revolução de 1932,3,revolução de 1932
revolução de 1964,3,revolução de 1964
rebelião de pedrinhas em 2010,3,rebelião de pedrinhas em 2010
reintegração de posse na usp em 2011,3,reintegração de posse na usp em 2011
resistência guaicuru,3,resistência guaicuru
revolta comunista de 35,3,revolta comunista de 35
revolta mineira de 1935,3,revolta mineira de 1935
revolta paulista de 1924,3,revolta paulista de 1924
revolta praieira,3,revolta praieira
revolta vermelha de 35,3,revolta vermelha de 35
revolta da armada,3,revolta da armada
revolta da cachaça,3,revolta da cachaça
revolta da catraca,3,revolta da catraca
revolta da chibata,3,revolta da chibata
revolta da fazenda ibicaba,3,revolta da fazenda ibicaba
revolta da vacina,3,revolta da vacina
revolta das barcas,3,revolta das barcas
revolta de amador bueno,3,revolta de amador bueno
revolta de beckman,3,revolta de beckman
revolta de carrancas,3,revolta de carrancas
revolta de felipe dos santos,3,revolta de felipe dos santos
revolta de filipe dos santos,3,revolta de filipe dos santos
revolta de ibicaba,3,revolta de ibicaba
revolta de ribeirãozinho,3,revolta de ribeirãozinho
revolta de santo amaro,3,revolta de santo amaro
revolta do ano da fumaça,3,revolta do ano da fumaça
revolta do guanais,3,revolta do guanais
revolta do quebra-quilos,3,revolta do quebra-quilos
revolta do ronco da abelha,3,revolta do ronco da abelha
revolta do ronco de abelha,3,revolta do ronco de abelha
revolta do sal,3,revolta do sal
revolta do vintém,3,revolta do vintém
revolta do vintém (paraná),3,revolta do vintém (paraná)
revolta do vintém (rio de janeiro),3,revolta do vintém (rio de janeiro)
revolta dos 18 do forte,3,revolta dos 18 do forte
revolta dos alfaiates,3,revolta dos alfaiates
revolta dos colonos,3,revolta dos colonos
revolta dos lisos,3,revolta dos lisos
revolta dos malês,3,revolta dos malês
revolta dos mercenários,3,revolta dos mercenários
revolta dos muckers,3,revolta dos muckers
revolta dos perdidos,3,revolta dos perdidos
revolta dos praieiros,3,revolta dos praieiros
revoltas liberais de 1842,3,revoltas liberais de 1842
revolução acreana,3,revolução acreana
revolução constitucionalista,3,revolução constitucionalista
revolução constitucionalista de 1932,3,revolução constitucionalista de 1932
revolução farroupilha,3,revolução farroupilha
revolução federalista,3,revolução federalista
revolução liberal de 1821,3,revolução liberal de 1821
