"title","filename","verbete","seq","qid","qurl","qlabel","qcountry","qdescr"
"Machado Coelho","1","https://github.com/cpdoc/dhbb/blob/master/text/1.text","0","Q10316612","http://www.wikidata.org/entity/Q10316612","Lauro Machado Coelho","Q155","Brazilian journalist"
"Machado Coelho","1","https://github.com/cpdoc/dhbb/blob/master/text/1.text","1","Q54115909","http://www.wikidata.org/entity/Q54115909","Machado Coelho","Q155",""
"Machado Coelho","1","https://github.com/cpdoc/dhbb/blob/master/text/1.text","2","Q42884738","http://www.wikidata.org/entity/Q42884738","Machado Coelho","","Wikimedia disambiguation page"
"Armando  Abílio","10","https://github.com/cpdoc/dhbb/blob/master/text/10.text","","","","","",""
"Pedro Aleixo","100","https://github.com/cpdoc/dhbb/blob/master/text/100.text","0","Q1797314","http://www.wikidata.org/entity/Q1797314","Pedro Aleixo","Q155","16th Vice President of Brazil (1901-1975)"
"Pedro Aleixo","100","https://github.com/cpdoc/dhbb/blob/master/text/100.text","1","Q91571665","http://www.wikidata.org/entity/Q91571665","Pedro Aleixo","","researcher (ORCID 0000-0002-7641-5128)"
"Pedro Aleixo","100","https://github.com/cpdoc/dhbb/blob/master/text/100.text","2","Q110006687","http://www.wikidata.org/entity/Q110006687","Pedro Aleixo Library - Chamber of Deputies","Q155","Library in Brasília, Brazil"
"Eduardo Campos","1000","https://github.com/cpdoc/dhbb/blob/master/text/1000.text","0","Q4864755","http://www.wikidata.org/entity/Q4864755","Eduardo Campos","Q155","Brazilian economist and politician"
"Eduardo Campos","1000","https://github.com/cpdoc/dhbb/blob/master/text/1000.text","1","Q56056750","http://www.wikidata.org/entity/Q56056750","Eduardo Z. Campos","","researcher"
"Eduardo Campos","1000","https://github.com/cpdoc/dhbb/blob/master/text/1000.text","2","Q17888784","http://www.wikidata.org/entity/Q17888784","Eduardo Campos evita falar em 2014 e diz que vai colocar lideranças do PSB no segundo turno das eleições","","Wikinews article"
"Eleazar Soares Campos","1001","https://github.com/cpdoc/dhbb/blob/master/text/1001.text","","","","","",""
"Epílogo De Campos","1002","https://github.com/cpdoc/dhbb/blob/master/text/1002.text","0","Q10273393","http://www.wikidata.org/entity/Q10273393","Epílogo de Campos","Q155","Brazilian politician"
"França Campos","1003","https://github.com/cpdoc/dhbb/blob/master/text/1003.text","0","Q10323778","http://www.wikidata.org/entity/Q10323778","Manoel França Campos","Q155","Brazilian politician"
"Francisco Machado De Campos","1004","https://github.com/cpdoc/dhbb/blob/master/text/1004.text","0","Q10284949","http://www.wikidata.org/entity/Q10284949","Francisco Machado de Campos","Q155","Brazilian politician"
"Francisco Campos","1005","https://github.com/cpdoc/dhbb/blob/master/text/1005.text","0","Q30731440","http://www.wikidata.org/entity/Q30731440","Francisco Campos","Q45","bicycle racer"
"Francisco Campos","1005","https://github.com/cpdoc/dhbb/blob/master/text/1005.text","1","Q953043","http://www.wikidata.org/entity/Q953043","Francisco Luís da Silva Campos","Q155","Brazilian politician (1891-1968)"
"Francisco Campos","1005","https://github.com/cpdoc/dhbb/blob/master/text/1005.text","2","Q5483230","http://www.wikidata.org/entity/Q5483230","Francisco Campos","Q96","Mexican baseball player"
"Frederico Campos","1006","https://github.com/cpdoc/dhbb/blob/master/text/1006.text","0","Q10285766","http://www.wikidata.org/entity/Q10285766","Frederico Campos","Q155","Brazilian politician"
"Frederico Campos","1006","https://github.com/cpdoc/dhbb/blob/master/text/1006.text","1","Q51704196","http://www.wikidata.org/entity/Q51704196","Frederico C. Guanais","","researcher"
"Frederico Campos","1006","https://github.com/cpdoc/dhbb/blob/master/text/1006.text","2","Q90200640","http://www.wikidata.org/entity/Q90200640","Frederico Campos Freitas","","researcher"
"Geraldo Campos","1007","https://github.com/cpdoc/dhbb/blob/master/text/1007.text","0","Q16337511","http://www.wikidata.org/entity/Q16337511","Geraldo Campos","Q155","Brazilian lawyer"
"Hélio Campos","1008","https://github.com/cpdoc/dhbb/blob/master/text/1008.text","0","Q94645238","http://www.wikidata.org/entity/Q94645238","Hélio Campos Mello","",""
"Jaime Campos","1009","https://github.com/cpdoc/dhbb/blob/master/text/1009.text","0","Q57902701","http://www.wikidata.org/entity/Q57902701","Jaime Campos","","researcher, ORCID id # 0000-0002-5924-9009"
