"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"ACT","0","Q310482","http://www.wikidata.org/entity/Q310482","AG2R Citroën Team","Q142","French cycling team"
"ACT","1","Q820655","http://www.wikidata.org/entity/Q820655","statute","","formal written document that creates law, including acts, executive orders, and by-laws"
"ACT","2","Q49371","http://www.wikidata.org/entity/Q49371","legislation","","the process or product of enrolling, enacting, or promulgating law by a legislature, parliament, or analogous governing body"
"Abolição do Voto Secreto","","","","","",""
"Ações Trabalhistas","","","","","",""
"Acorda Brasil","","","","","",""
"ACORDO COMERCIAL BRASIL-ESTADOS UNIDOS","0","Q16144605","http://www.wikidata.org/entity/Q16144605","Acordo Comercial Brasil-Estados Unidos","Q30",""
"ACORDO DE FERNANDO DE NORONHA","","","","","",""
"ACORDO DE PAGAMENTOS ANGLO-BRASILEIRO","","","","","",""
"ACORDO DE ROBORÉ","","","","","",""
"Acordo Interamericano do Café","","","","","",""
"Acordo Interpartidário","","","","","",""
"ACORDO MEC-USAID","","","","","",""
"Acordo Militar","0","Q4958991","http://www.wikidata.org/entity/Q4958991","Brazil–United States Treaty","","international treaty"
"Acordo Militar","1","Q8187834","http://www.wikidata.org/entity/Q8187834","Acordo militar entre Colômbia e Estados Unidos","Q739",""
"ACORDO MILITAR BRASIL-EUA","","","","","",""
"Acordo mineiro","","","","","",""
"Acordo Nuclear","0","Q16144616","http://www.wikidata.org/entity/Q16144616","Brazil-Germany Nuclear Treaty","Q155",""
"ACORDO NUCLEAR BRASIL-ALEMANHA","0","Q16144616","http://www.wikidata.org/entity/Q16144616","Brazil-Germany Nuclear Treaty","Q155",""
"ACORDOS DE WASHINGTON","0","Q1998604","http://www.wikidata.org/entity/Q1998604","Brazil-United States Political-Military Agreement","Q155","1942 bilateral treaty"
"ACORDOS DO TRIGO","","","","","",""
"Adicional de Tarifa Portuária","","","","","",""
"Agenda Ambiental do Petróleo","","","","","",""
"Agenda Básica","","","","","",""
"Agente Jovem","","","","","",""
"Ai-11","0","Q16142275","http://www.wikidata.org/entity/Q16142275","AI-11","Q155",""
"Ai-11","1","Q105507509","http://www.wikidata.org/entity/Q105507509","H103D8.1D11","","cell line"
"Ai-11","2","Q55136044","http://www.wikidata.org/entity/Q55136044","AI-11c-MET-MEDIATED ENDOTHELIAL-MESENCHYMAL TRANSITION DRIVES GLIOBLASTOMA PROGRESSION AND THERAPEUTIC RESISTANCE.","","scientific article published in November 2014"
"Ai-12","0","Q9636866","http://www.wikidata.org/entity/Q9636866","AI-12","Q155",""
"Ai-12","1","Q105507514","http://www.wikidata.org/entity/Q105507514","H105C7.1C10","","cell line"
"Ai-12","2","Q108205001","http://www.wikidata.org/entity/Q108205001","Gontenmoos","Q39","Fenland of national importance in Gonten, canton of Appenzell Innerrhoden, Switzerland (AI-123)"
"Ai-15","0","Q16142713","http://www.wikidata.org/entity/Q16142713","AI-15","Q155",""
"Ai-15","1","Q94352397","http://www.wikidata.org/entity/Q94352397","AI-15EPIDERMAL GROWTH FACTOR-LIKE MODULE CONTAINING MUCIN-LIKE HORMONE RECEPTOR 2 ROLE IN PREDICTING SURVIVAL IN INVASIVE GLIOMAS","",""
"Ai-2","0","Q3600957","http://www.wikidata.org/entity/Q3600957","Institutional Act Number Two","Q155",""
"Ai-2","1","Q4826351","http://www.wikidata.org/entity/Q4826351","autoinducer-2","","chemical compound"
"Ai-2","2","Q27120583","http://www.wikidata.org/entity/Q27120583","(2R,4S)-2-methyltetrahydrofuran-2,3,3,4-tetrol","","chemical compound"
"Ai-3","0","Q16141712","http://www.wikidata.org/entity/Q16141712","Institutional Act Number Three","Q155",""
"Ai-3","1","Q106268179","http://www.wikidata.org/entity/Q106268179","AI 394262 AgR-ED-AgR / RJ - RIO DE JANEIRO","Q155",""
"Ai-3","2","Q23598440","http://www.wikidata.org/entity/Q23598440","AI-3-responsive two component signal transduction system response regulator QseB SO_2104","","microbial protein found in Shewanella oneidensis MR-1"
"Ai-5","0","Q2642410","http://www.wikidata.org/entity/Q2642410","AI-5","Q155","1968 legislation by the Brazilian military government"
"Ai-5","1","Q9555649","http://www.wikidata.org/entity/Q9555649","AI-5","Q155",""
"Ai-5","2","Q10264680","http://www.wikidata.org/entity/Q10264680","Law-decree No. 477, of February 26, 1969","Q155","Brazilian law-decree"
"anteprojeto Constitucional","","","","","",""
"anteprojeto da Carta Magna","","","","","",""
"anteprojeto da Comissão de Sistematização","","","","","",""
"anteprojeto da Comissão Provisória","","","","","",""
"anteprojeto da Comissão Provisória de Estudos Constitucionais","","","","","",""
"anteprojeto da Consolidação das Leis do Trabalho","","","","","",""
"anteprojeto da Constituição","","","","","",""
"Anteprojeto da Legislação do Petróleo","","","","","",""
"anteprojeto da Lei de Acidentes no Trabalho","","","","","",""
"anteprojeto da Lei de Direitos Autorais","","","","","",""
"anteprojeto da Lei de Execuções Penais","","","","","",""
"anteprojeto da Lei de Imprensa","","","","","",""
"anteprojeto da Lei de Segurança Nacional","","","","","",""
"anteprojeto da Lei de Sindicalização e Representação Política das Classes","","","","","",""
"anteprojeto da Lei Orgânica da Magistratura","","","","","",""
"anteprojeto da nova Carta","","","","","",""
"anteprojeto da nova Carta Constitucional","","","","","",""
"anteprojeto da nova Constituição","","","","","",""
"anteprojeto de CLT","","","","","",""
"Anteprojeto de Código de Processo Civil","","","","","",""
"Anteprojeto de Código Penal","","","","","",""
"anteprojeto de Código Penal Militar","","","","","",""
"anteprojeto de Estatuto do Petróleo","","","","","",""
"Anteprojeto de Lei do Salário Família","","","","","",""
"anteprojeto de Lei Orgânica de Administração Pública","","","","","",""
"anteprojeto de Lei Orgânica do Ministério Público","","","","","",""
"Anteprojeto de Reforma do MRE","","","","","",""
"Anteprojeto de Regimento Interno da Secretaria de Estado das Relações Exteriores","","","","","",""
"anteprojeto do Código Brasileiro de Telecomunicações","","","","","",""
"anteprojeto do Código da Justiça Militar","","","","","",""
"Anteprojeto do Código de Contravenções Penais","","","","","",""
"anteprojeto do Código de Defesa do Consumidor","","","","","",""
"anteprojeto do Código de Minas","","","","","",""
"anteprojeto do Código de Processo Civil","","","","","",""
"anteprojeto do Código de Processo Penal","","","","","",""
"anteprojeto do Código do Mar","","","","","",""
"Anteprojeto do Código dos Trabalhadores","","","","","",""
"anteprojeto do Código Eleitoral","","","","","",""
"anteprojeto do Código Nacional de Telecomunicações","","","","","",""
"anteprojeto do Código Penal Brasileiro","","","","","",""
"anteprojeto do Estatuto do Petróleo","","","","","",""
"anteprojeto do Governo Provisório","","","","","",""
"anteprojeto do Metropolitano do Rio de Janeiro","","","","","",""
"anteprojeto do Plano de Valorização Econômica da Amazônia","","","","","",""
"anteprojeto do Plano Salte","","","","","",""
"anteprojeto do Poder Legislativo","","","","","",""
"Anteprojeto do Regimento do Itamarati","","","","","",""
"Anteprojeto do Regulamento para os Serviços Diplomáticos","","","","","",""
"Apoio à Emissão de Títulos Corporativos","","","","","",""
"Aposentadoria Compulsória","0","Q11104487","http://www.wikidata.org/entity/Q11104487","mandatory retirement","","set age at which people who hold certain jobs or offices are required by industry custom or by law to leave their employment, or retire"
"Área de Livre Comércio das Américas","0","Q468591","http://www.wikidata.org/entity/Q468591","Free Trade Area of the Americas","","failed 2005 trade agreement for North and South America"
"Arguição de Descumprimento de Preceito Fundamental","0","Q9628369","http://www.wikidata.org/entity/Q9628369","Arguição de Descumprimento de Preceito Fundamental","Q155",""
"Arguição de Descumprimento de Preceito Fundamental","1","Q61140741","http://www.wikidata.org/entity/Q61140741","Arguição de descumprimento de preceito fundamental nº 186","Q155",""
"Ata das Cataratas","","","","","",""
"Ata de Bogotá","","","","","",""
"Ata de Chapultepec","0","Q8187714","http://www.wikidata.org/entity/Q8187714","Ata de Chapultepec","Q96",""
"Ata de Roboré","","","","","",""
"Ata do Iguaçu","","","","","",""
"Ata Econômica","","","","","",""
"Ata Final","","","","","",""
