"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"AÇÃO CATÓLICA BRASILEIRA","0","Q9641751","http://www.wikidata.org/entity/Q9641751","Ação Católica Brasileira","Q155",""
"AÇÃO DEMOCRÁTICA PARLAMENTAR","","","","","",""
"Ação Integralista Brasileira","0","Q899306","http://www.wikidata.org/entity/Q899306","Brazilian Integralism","Q155","political ideology"
"Ação Integralista Brasileira","1","Q4958743","http://www.wikidata.org/entity/Q4958743","Brazilian Integralist Action","Q155","political party in Brazil"
"AÇÃO LIBERTADORA NACIONAL","0","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"AÇÃO POPULAR","0","Q451584","http://www.wikidata.org/entity/Q451584","actio popularis","","action in Roman penal law brought by a member of the public in the interest of public order"
"AÇÃO POPULAR","1","Q16484839","http://www.wikidata.org/entity/Q16484839","Ação Popular","Q155","Brazilian political organization"
"AÇÃO POPULAR","2","Q66738265","http://www.wikidata.org/entity/Q66738265","Acao Popular","Q155","Brazilian political coalition in Sinop, Mato Grosso"
"Ação Popular Marxista Leninista do Brasil","","","","","",""
"Ação Popular Marxista-Leninista","0","Q16484839","http://www.wikidata.org/entity/Q16484839","Ação Popular","Q155","Brazilian political organization"
"Ação Popular Renovadora","","","","","",""
"Ação Popular Socialista","0","Q9641762","http://www.wikidata.org/entity/Q9641762","Ação Popular Socialista","Q155","Brazilian political organization"
"AÇÃO SOCIAL BRASILEIRA","0","Q2823702","http://www.wikidata.org/entity/Q2823702","Ação Social Brasileira","Q155",""
"AIB","0","Q899306","http://www.wikidata.org/entity/Q899306","Brazilian Integralism","Q155","political ideology"
"AIB","1","Q36405","http://www.wikidata.org/entity/Q36405","Aberdeen","Q145","city in Scotland, United Kingdom"
"AIB","2","Q26241215","http://www.wikidata.org/entity/Q26241215","Aib","Q252","village in Jayapura Regency, Papua, Indonesia"
"Ala Moça","","","","","",""
"Ala Moça do Partido Social Democrático","","","","","",""
"ALA MOÇA DO PSD","","","","","",""
"Ala Moça Social Democrática","","","","","",""
"Ala Vermelha","0","Q10345614","http://www.wikidata.org/entity/Q10345614","Partido Comunista do Brasil - Ala Vermelha","Q155",""
"Ala Vermelha do Partido Comunista do Brasil","","","","","",""
"Aliança de Libertação Nacional","","","","","",""
"Aliança de Mulheres Parlamentares","","","","","",""
"Aliança Democrata Cristã","","","","","",""
"Aliança Democrática","0","Q761877","http://www.wikidata.org/entity/Q761877","Democratic Alliance","Q258","political party in South Africa formed in 2000"
"Aliança Democrática","1","Q2344776","http://www.wikidata.org/entity/Q2344776","Democratic Republican Alliance","Q142","defunct political party in France"
"Aliança Democrática","2","Q377349","http://www.wikidata.org/entity/Q377349","Democratic Alliance","Q45","political coalition in Portugal"
"Aliança Democrática Cristã","","","","","",""
"Aliança Democrática da Bahia","","","","","",""
"Aliança Democrática e Popular","","","","","",""
"Aliança Democrática Nacional","","","","","",""
"Aliança Democrática Nacionalista","","","","","",""
"Aliança Democrática Popular","0","Q2632431","http://www.wikidata.org/entity/Q2632431","Democratic People's Alliance","Q225","Bosnian Serb political party"
"Aliança Democrática Progressista","","","","","",""
"Aliança Democrática Social Trabalhista","","","","","",""
"Aliança Democrática Tancredo Neves","","","","","",""
"Aliança Democrática Trabalhista","","","","","",""
"Aliança Democrática Trabalhista Cristã","","","","","",""
"Aliança Democrática Trabalhista Cristã da Bahia","","","","","",""
"Aliança Frente Libertadora","","","","","",""
"Aliança Interpartidária","","","","","",""
"Aliança Liberal","0","Q478180","http://www.wikidata.org/entity/Q478180","Liberal Alliance","Q35","political party in Denmark"
"Aliança Liberal","1","Q2838195","http://www.wikidata.org/entity/Q2838195","Liberal Alliance (Brazil)","Q155",""
"Aliança Liberal","2","Q20744433","http://www.wikidata.org/entity/Q20744433","Liberal Popular Alliance – Autonomies","Q38","Italian political party"
"Aliança Liberal do Maranhão","","","","","",""
"Aliança Libertadora","0","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"Aliança Libertadora Acadêmica","","","","","",""
"Aliança Libertadora Nacional","0","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"Aliança Libertadora Trabalhista","","","","","",""
"Aliança Mato-Grossense","","","","","",""
"Aliança Movimento Democrático Renovador","","","","","",""
"Aliança Nacional","0","Q662849","http://www.wikidata.org/entity/Q662849","National Alliance","Q38","conservative political party in Italy"
"Aliança Nacional","1","Q1576026","http://www.wikidata.org/entity/Q1576026","National Alliance","Q211","right-wing political party in Latvia"
"Aliança Nacional","2","Q97216079","http://www.wikidata.org/entity/Q97216079","National Alliance","Q37","political party in Lithuania"
"Aliança Nacional de Mulheres","","","","","",""
"Aliança Nacional Libertadora","0","Q4314903","http://www.wikidata.org/entity/Q4314903","Aliança Nacional Libertadora","Q155","Brazil"
"Aliança Nacional Libertadora","1","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"Aliança Nacional Renovadora","","","","","",""
"Aliança Nacional Republicana","","","","","",""
"Aliança Nacional Trabalhista","","","","","",""
"Aliança Partidária","","","","","",""
"Aliança Popular","0","Q2838243","http://www.wikidata.org/entity/Q2838243","People's Alliance","Q29","Spanish political party"
"Aliança Popular","1","Q1103943","http://www.wikidata.org/entity/Q1103943","People's Alliance for Democracy","Q869","advocacy group"
"Aliança Popular","2","Q7889033","http://www.wikidata.org/entity/Q7889033","United People's Alliance","Q1007","political party in Guinea-Bissau"
"Aliança Popular Nacionalista","","","","","",""
"Aliança Progressista","0","Q7248622","http://www.wikidata.org/entity/Q7248622","Progressive Alliance","","political international"
"Aliança Progressista","1","Q507343","http://www.wikidata.org/entity/Q507343","Progressive Alliance of Socialists and Democrats","","European Parliament political group"
"Aliança Progressista","2","Q2838261","http://www.wikidata.org/entity/Q2838261","Progressive Alliance","Q77","Uruguayan political party"
"Aliança Renovador Nacional","","","","","",""
"Aliança Renovadora Nacional","0","Q2745857","http://www.wikidata.org/entity/Q2745857","National Renewal Alliance Party","Q155","political party in Brazil supporting the military dictatorship (1966-1979)"
"Aliança Republicana","0","Q1146480","http://www.wikidata.org/entity/Q1146480","Nationalist Republican Alliance","Q792","Conservative political party in El Salvador"
"Aliança Republicana","1","Q16488566","http://www.wikidata.org/entity/Q16488566","Aliança Republicana Socialista","Q155",""
"Aliança Republicana","2","Q3236937","http://www.wikidata.org/entity/Q3236937","Aliança Republicana e Socialista","",""
"Aliança Republicana Cristã","","","","","",""
"Aliança Social Democrática","0","Q1141127","http://www.wikidata.org/entity/Q1141127","Social Democratic Alliance","Q189","Icelandic political party"
"Aliança Social Progressista","","","","","",""
